[16:01:05] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[16:14:33] [User Authenticator #3/INFO]: UUID of player KaptenZ is 77553233-86dc-49cf-8f8e-af729c70fffb
[16:14:33] [Server thread/INFO]: KaptenZ[/180.252.52.110:14549] logged in with entity id 644 at (-5.5, 96.0, 0.5)
[16:14:33] [Server thread/INFO]: KaptenZ joined the game
[16:15:49] [Server thread/INFO]: KaptenZ lost connection: Disconnected
[16:15:49] [Server thread/INFO]: KaptenZ left the game
[16:17:58] [User Authenticator #4/INFO]: UUID of player iniDarren is 1e67d390-353c-4fc3-ba92-cb7bd538efa2
[16:17:59] [Server thread/INFO]: iniDarren[/114.125.6.164:50221] logged in with entity id 895 at (0.5, 96.0, -4.5)
[16:17:59] [Server thread/INFO]: iniDarren joined the game
[16:19:17] [Server thread/INFO]: iniDarren fell from a high place
[16:19:35] [Server thread/INFO]: iniDarren was blown up by Creeper
[16:20:11] [Server thread/INFO]: iniDarren was slain by Zombie
[16:25:42] [Server thread/INFO]: iniDarren was slain by Zombie
